africa (n) . /ˈæfrɪkə/ | Châu Phi
going to (phrase) . /ˈɡoʊɪŋ tu/ | sẽ, định làm gì
gold (n/adj) . /ɡoʊld/ | vàng
golf (n) . /ɡɑːlf/ | môn gôn
good (adj) . /ɡʊd/ | tốt, giỏi
good afternoon (phrase) . /ˌɡʊd æftərˈnuːn/ | chào buổi chiều
good at (phrase) . /ɡʊd æt/ | giỏi về cái gì
good evening (phrase) . /ˌɡʊd ˈiːvnɪŋ/ | chào buổi tối
good for (phrase) . /ɡʊd fɔːr/ | tốt cho
good luck (phrase) . /ˌɡʊd ˈlʌk/ | chúc may mắn
good morning (phrase) . /ˌɡʊd ˈmɔːrnɪŋ/ | chào buổi sáng
good night (phrase) . /ˌɡʊd ˈnaɪt/ | chúc ngủ ngon
good to see you (phrase) . /ɡʊd tu siː ju/ | rất vui được gặp
gossip (n/v) . /ˈɡɑːsɪp/ | lời đồn đại, tán chuyện
got (v) . /ɡɑːt/ | đã nhận, đã có
grade (n/v) . /ɡreɪd/ | điểm số, lớp học
grammar (n) . /ˈɡræmər/ | ngữ pháp
grandchildren (n) . /ˈɡrændtʃɪldrən/ | các cháu
grandfather (n) . /ˈɡrændfɑːðər/ | ông (nội/ngoại)
grandma (n) . /ˈɡrændmɑː/ | bà
grandmother (n) . /ˈɡrændmʌðər/ | bà (nội/ngoại)
grandpa (n) . /ˈɡrændpɑː/ | ông ơi, ông
grandparents (n) . /ˈɡrændperənts/ | ông bà
grape (n) . /ɡreɪp/ | quả nho
gray (n/adj) . /ɡreɪ/ | màu xám
great (adj) . /ɡreɪt/ | tuyệt vời, vĩ đại
green (n/adj) . /ɡriːn/ | màu xanh lá cây
grilled (adj) . /ɡrɪld/ | nướng
groceries (n) . /ˈɡroʊsəriz/ | hàng tạp hóa
grocery store (n) . /ˈgroʊsəri stɔːr/ | cửa hàng bách hóa
group (n/v) . /ɡruːp/ | nhóm, đoàn
guest (n) . /ɡest/ | khách mời
guitar (n) . /ɡɪˈtɑːr/ | đàn ghi-ta
guy (n) . /ɡaɪ/ | anh chàng, gã
gym (n) . /dʒɪm/ | phòng tập thể dục
habit (n) . /ˈhæbɪt/ | thói quen
had (v) . /hæd/ | đã có, đã từng
hair (n) . /her/ | tóc
half (n/determiner) . /hæf/ | một nửa
half an hour (n) . /hæf ən ˈaʊər/ | nửa giờ (30 phút)
ham (n) . /hæm/ | thịt giăm bông
hand (n/v) . /hænd/ | bàn tay
hang out (v) . /hæŋ aʊt/ | đi chơi, tụ tập
happen (v) . /ˈhæpən/ | xảy ra
happy (adj) . /ˈhæpi/ | hạnh phúc, vui vẻ
happy birthday (phrase) . /ˌhæpi ˈbɜːrθdeɪ/ | chúc mừng sinh nhật
hard (adj/adv) . /hɑːrd/ | chăm chỉ, khó khăn
hat (n) . /hæt/ | cái mũ, chiếc mũ
hate (v) . /heɪt/ | ghét
have (v) . /hæv/ | có, dùng, ăn
have a headache (phrase) . /hæv ə ˈhedæk/ | bị đau đầu
have a seat (phrase) . /hæv ə siːt/ | mời ngồi
have fun (phrase) . /hæv fʌn/ | vui vẻ nhé
have to (modal v) . /hæv tu/ | phải làm gì đó
he'll (phrase) . /hiːl/ | anh ấy sẽ
he's (phrase) . /hiːz/ | anh ấy là
head (n/v) . /hed/ | cái đầu
headphones (n) . /ˈhedfoʊnz/ | tai nghe
health (n) . /helθ/ | sức khỏe
healthy (adj) . /ˈhelθi/ | khỏe mạnh
hear (v) . /hɪr/ | nghe thấy
heard (v) . /hɜːrd/ | đã nghe
heat (n/v) . /hiːt/ | hệ thống sưởi, nhiệt độ
heavy (adj) . /ˈhevi/ | nặng nề
helmet (n) . /ˈhelmɪt/ | mũ bảo hiểm
help (v/n) . /help/ | giúp đỡ
helpful (adj) . /ˈhelpfl/ | hữu ích, hay giúp đỡ
her (determiner/pronoun) . /hɜːr/ | của cô ấy, cô ấy (tân ngữ)
here (adv) . /hɪr/ | ở đây
here is (phrase) . /hɪr ɪz/ | đây là
here is your (phrase) . /hɪr ɪz jɔːr/ | đây là ... của bạn
hi (interj) . /haɪ/ | xin chào
high school (n) . /ˈhaɪ skuːl/ | trường THPT
hike (v/n) . /haɪk/ | đi bộ đường dài (leo núi)
him (pronoun) . /hɪm/ | anh ấy (tân ngữ)
hire (v) . /ˈhaɪər/ | thuê, mướn
his (determiner/pronoun) . /hɪz/ | của anh ấy
history (n) . /ˈhɪstri/ | lịch sử
hobby (n) . /ˈhɑːbi/ | sở thích
hockey (n) . /ˈhɑːki/ | khúc côn cầu
holiday (n) . /ˈhɑːlədeɪ/ | ngày lễ, kỳ nghỉ
homework (n) . /ˈhoʊmwɜːrk/ | bài tập về nhà
honey (n) . /ˈhʌni/ | mật ong
hope (v/n) . /hoʊp/ | hy vọng
hospital (n) . /ˈhɑːspɪtl/ | bệnh viện
hot (adj) . /hɑːt/ | nóng
hot chocolate (n) . /hɑːt ˈtʃɑːklət/ | sô-cô-la nóng
hotel (n) . /hoʊˈtel/ | khách sạn
hour (n) . /ˈaʊər/ | giờ, tiếng đồng hồ
house (n) . /haʊs/ | ngôi nhà
how (adv) . /haʊ/ | như thế nào
how are you (phrase) . /haʊ ɑːr ju/ | bạn khỏe không
how big (phrase) . /haʊ bɪɡ/ | lớn cỡ nào
how long (phrase) . /haʊ lɔːŋ/ | bao lâu
how many (phrase) . /haʊ ˈmeni/ | bao nhiêu (đếm được)
how much (phrase) . /haʊ mʌtʃ/ | bao nhiêu (K đếm được)
how much is (phrase) . /haʊ mʌtʃ ɪz/ | giá bao nhiêu
how often (phrase) . /haʊ ˈɔːfn/ | bao lâu một lần
how old (phrase) . /haʊ oʊld/ | bao nhiêu tuổi
how's (phrase) . /haʊz/ | ... như thế nào
how's it going (phrase) . /haʊz ɪt ˈɡoʊɪŋ/ | dạo này thế nào
huge (adj) . /hjuːdʒ/ | khổng lồ, to lớn
humid (adj) . /ˈhjuːmɪd/ | ẩm ướt
hungry (adj) . /ˈhʌŋɡri/ | đói bụng
hurry (v/n) . /ˈhɜːri/ | nhanh lên, vội vã
hurt (v/adj) . /hɜːrt/ | làm đau, bị thương
husband (n) . /ˈhʌzbənd/ | người chồng
ice (n) . /aɪs/ | băng, đá
idea (n) . /aɪˈdiːə/ | ý tưởng
if (conj) . /ɪf/ | nếu
if you can (phrase) . /ɪf juː kæn/ | nếu bạn có thể
important (adj) . /ɪmˈpɔːrtnt/ | quan trọng
improve (v) . /ɪmˈpruːv/ | cải thiện, trau dồi
in (prep/adv) . /ɪn/ | ở, tại, trong
in a hurry (phrase) . /ɪn ə ˈhɜːri/ | đang vội
in front of (prep) . /ɪn frʌnt ɒv/ | ở phía trước
in the afternoon (phrase) . /ɪn ðə ˌæftərˈnuːn/ | vào buổi chiều
in the evening (phrase) . /ɪn ðə ˈiːvnɪŋ/ | vào buổi tối
in the rain (phrase) . /ɪn ðə reɪ/ | trong mưa
inbox (n) . /ˈɪnbɑːks/ | hộp thư đến
information (n) . /ˌɪnfərˈmeɪʃn/ | thông tin
ingredient (n) . /ɪnˈɡriːdiənt/ | thành phần, nguyên liệu
insect (n) . /ˈɪnsekt/ | côn trùng
inside (adv/prep/n) . /ˌɪnˈsaɪd/ | bên trong
instructions (n) . /ɪnˈstrʌkʃnz/ | hướng dẫn
instructor (n) . /ɪnˈstrʌktər/ | người hướng dẫn
instrument (n) . /ˈɪnstrəmənt/ | nhạc cụ, dụng cụ
insurance company (n) . /ɪnˈʃʊrəns ˈkʌmpəni/ | công ty bảo hiểm
interested in (adj) . /ˈɪntrəstɪd ɪn/ | quan tâm đến
interesting (adj) . /ˈɪntrəstɪŋ/ | thú vị
interview (n/v) . /ˈɪntərvjuː/ | phỏng vấn
invitation (n) . /ˌɪnvɪˈteɪʃn/ | lời mời
invite (v) . /ɪnˈvaɪt/ | mời
is (v) . /ɪz/ | là, thì, ở (số ít)
is it (phrase) . /ɪz ɪt/ | có phải không, à
is there (phrase) . /ɪz ðer/ | có... không (số ít)
is this (phrase) . /ɪz ðɪs/ | đây có phải là...
island (n) . /ˈaɪlənd/ | hòn đảo
it's (phrase) . /ɪts/ | nó là, bây giờ là
it's hot (phrase) . /ɪts hɑːt/ | trời nóng
it's rainy (phrase) . /ɪts ˈreɪni/ | trời mưa
it's sunny (phrase) . /ɪts ˈsʌni/ | trời nắng
item (n) . /ˈaɪtəm/ | mặt hàng
jacket (n) . /ˈdʒækɪt/ | áo khoác
jam (n) . /dʒæm/ | mứt
jazz (n) . /dʒæz/ | nhạc jazz
jealous (adj) . /ˈdʒeləs/ | ghen tị
jeans (n) . /dʒiːnz/ | quần bò (jean)
jelly (n) . /ˈdʒeli/ | mứt (thạch)
jewelry (n) . /ˈdʒuːəlri/ | trang sức
job (n) . /dʒɑːb/ | công việc
join (v) . /dʒɔɪ/ | tham gia
journal (v/n) . /ˈdʒɜːrnl/ | viết nhật ký
juice (n) . /dʒuːs/ | nước ép
jump (v/n) . /dʒʌmp/ | nhảy
just (adv) . /dʒʌst/ | chỉ, vừa mới
karate (n) . /kəˈrɑːti/ | karate
ketchup (n) . /ˈketʃʌp/ | tương cà
key (n/adj) . /kiː/ | chìa khóa
keyboard (n) . /ˈkiːbɔːrd/ | bàn phím
kick (v/n) . /kɪk/ | đá
kid (n) . /kɪd/ | đứa trẻ
kilometer (n) . /kɪˈlɑːmɪtər/ | ki-lô-mét
kind (adj/n) . /kaɪnd/ | tử tế, dịu dàng
kitchen (n) . /ˈkɪtʃɪn/ | phòng bếp
knew (v) . /nuː/ | đã biết
know (v) . /noʊ/ | biết, quen biết
lake (n) . /leɪk/ | hồ nước
lamp (n) . /læmp/ | cái đèn
language (n) . /ˈlæŋɡwɪdʒ/ | ngôn ngữ
laptop (n) . /ˈlæptɑːp/ | máy tính xách tay
large (adj) . /lɑːrdʒ/ | to, lớn, rộng
last (adj/adv/v) . /læst/ | trước, cuối cùng
last name (n) . /ˈlæst neɪm/ | họ
last night (adv/n) . /læst naɪt/ | tối qua
late for (adj) . /leɪt fɔːr/ | muộn, trễ
laugh (v/n) . /læf/ | cười lớn
laundry (n) . /ˈlɔːndri/ | việc giặt ủi
lawyer (n) . /ˈlɔːjər/ | luật sư
learn (v) . /lɜːrn/ | học tập
leave (v/n) . /liːv/ | rời đi, rời khỏi
leaves (n) . /liːvz/ | lá cây (số nhiều)
lecture (n/v) . /ˈlektʃər/ | bài giảng, bài diễn thuyết
leg (n) . /leɡ/ | chân, cẳng chân
lemon (n) . /ˈlemən/ | quả chanh vàng
lemonade (n) . /ˌleməˈneɪd/ | nước chanh
lend (v) . /lend/ | cho mượn
lesson (n) . /ˈlesn/ | bài học, buổi học
let's (phrase) . /lets/ | chúng ta hãy
letter (n) . /ˈletər/ | lá thư, chữ cái
library (n) . /ˈlaɪbreri/ | thư viện
lie down (v) . /laɪ daʊn/ | nằm xuống
life (n) . /laɪf/ | cuộc sống
lift (v/n) . /lɪft/ | nhấc lên, nâng
light (n/adj) . /laɪt/ | ánh sáng, màu nhạt
like (v/prep) . /laɪk/ | thích, giống như
line (n) . /laɪn/ | hàng, dòng
listen to (v) . /ˈlɪsn tu/ | nghe
little (adj/adv) . /ˈlɪtl/ | nhỏ, ít
live (v/adj) . /lɪv/ | sinh sống
living room (n) . /ˈlɪvɪŋ ruːm/ | phòng khách
location (n) . /loʊˈkeɪʃn/ | vị trí, địa điểm
locker (n) . /ˈlɑːkər/ | tủ đồ có khóa
lonely (adj) . /ˈloʊnli/ | cô đơn
long (adj/adv) . /lɔːŋ/ | dài, lâu
look (v/interj) . /lʊk/ | nhìn kìa
look at (v) . /lʊk æt/ | nhìn vào
look for (v) . /lʊk fɔːr/ | tìm kiếm
lose (v) . /luːz/ | mất, thua, bỏ lỡ
lost (adj/v) . /lɔːst/ | bị mất, lạc đường
loud (adj/adv) . /laʊd/ | ồn ào, lớn tiếng
love (v/n) . /lʌv/ | yêu, rất thích
luggage (n) . /ˈlʌɡɪdʒ/ | hành lý
lunch (n) . /lʌntʃ/ | bữa trưa
lying down (v) . /ˈlaɪɪŋ daʊn/ | đang nằm xuống
mad (adj) . /mæd/ | tức giận
mad at (adj) . /mæd æt/ | giận dỗi ai đó
made (v) . /meɪd/ | đã làm, đã khiến cho
magazine (n) . /ˈmæɡəziːn/ | tạp chí
magic show (n) . /ˈmædʒɪk ʃoʊ/ | buổi diễn ảo thuật
mail (n/v) . /meɪl/ | thư tín
main (adj) . /meɪn/ | chính yếu
main course (n) . /meɪn kɔːrs/ | món chính
major (n/adj) . /ˈmeɪdʒər/ | ngành học chính
make (v/n) . /meɪk/ | làm, chế tạo
makeup (n) . /ˈmeɪkʌp/ | trang điểm
mall (n) . /mɔːl/ | trung tâm mua sắm
manager (n) . /ˈmænɪdʒər/ | người quản lý
mango (n) . /ˈmæŋɡoʊ/ | quả xoài
many (determiner/pronoun) . /ˈmeni/ | nhiều (đếm được)
map (n/v) . /mæp/ | bản đồ
marathon (n) . /ˈmærəθɑːn/ | chạy marathon
market (n) . /ˈmɑːrkɪt/ | cái chợ
married (adj) . /ˈmærid/ | đã kết hôn
mask (n/v) . /mæsk/ | khẩu trang, mặt nạ
math (n) . /mæθ/ | môn toán
may (modal v) . /meɪ/ | có thể
maybe (adv) . /ˈmeɪbi/ | có lẽ
mayor (n) . /ˈmeɪər/ | thị trưởng
me (pronoun) . /miː/ | tôi (tân ngữ)
me too (phrase) . /miː tuː/ | tôi cũng vậy
meal (n) . /miːl/ | bữa ăn
measure (v/n) . /ˈmeʒər/ | đo lường
meat (n) . /miːt/ | thịt
medical (adj) . /ˈmedɪkl/ | y tế, thuộc về y khoa
medicine (n) . /ˈmedsn/ | thuốc, y học
meditate (v) . /ˈmedɪteɪt/ | thiền
medium (adj/n) . /ˈmiːdiəm/ | trung bình, vừa
meet (v) . /miːt/ | gặp gỡ
meeting (n) . /ˈmiːtɪŋ/ | cuộc họp
member (n) . /ˈmembər/ | thành viên
men (n) . /men/ | những người đàn ông (số nhiều)
mention (v/n) . /ˈmenʃn/ | nhắc đến
menu (n) . /ˈmenjuː/ | thực đơn
mess (n/v) . /mes/ | sự bừa bộn
message (n/v) . /ˈmesɪdʒ/ | tin nhắn
met (v) . /met/ | đã gặp
microphone (n) . /ˈmaɪkrəfoʊn/ | micrô
midnight (n) . /ˈmɪdnaɪt/ | nửa đêm
might (modal v) . /maɪt/ | có thể (xác suất thấp)
mile (n) . /maɪl/ | dặm (đơn vị đo)
milk (n/v) . /mɪlk/ | sữa
minute (n) . /ˈmɪnɪt/ | phút
miss (v/n) . /mɪs/ | bỏ lỡ, nhớ nhung
missing (adj) . /ˈmɪsɪŋ/ | bị mất, thất lạc
mistake (n/v) . /mɪˈsteɪk/ | sai lầm, lỗi
mix (v/n) . /mɪks/ | trộn, hòa lẫn
monday (n) . /ˈmʌndeɪ/ | thứ Hai
money (n) . /ˈmʌni/ | tiền bạc
month (n) . /mʌnθ/ | tháng
more (determiner/adv) . /mɔːr/ | nhiều hơn
more often (adv) . /mɔːr ˈɔːfn/ | thường xuyên hơn
morning (n) . /ˈmɔːrnɪŋ/ | buổi sáng
mother (n) . /ˈmʌðər/ | người mẹ
motorcycle (n) . /ˈmoʊtərˈsaɪkl/ | xe máy
mountain (n) . /ˈmaʊntn/ | ngọn núi
mouth (n) . /maʊθ/ | cái miệng
move (v/n) . /muːv/ | di chuyển, chuyển nhà
movie (n) . /ˈmuːvi/ | bộ phim
movie theater (n) . /ˈmuːvi ˈθiːətər/ | rạp chiếu phim
much (determiner/adv) . /mʌtʃ/ | nhiều (không đếm được)
mug (n) . /mʌɡ/ | cái ca (ly lớn)
museum (n) . /mjuˈziːəm/ | bảo tàng
mushroom (n) . /ˈmʌʃruːm/ | nấm
music (n) . /ˈmjuːzɪk/ | âm nhạc
music video (n) . /ˈmjuːzɪk ˈvɪdioʊ/ | video âm nhạc
must (modal v) . /mʌst/ | phải (bắt buộc)
must not (modal v) . /mʌst nɑːt/ | không được phép
my name is (phrase) . /maɪ neɪm ɪz/ | tên tôi là
name (n/v) . /neɪm/ | tên
napkin (n) . /ˈnæpkɪn/ | khăn ăn
near (prep/adj/adv) . /nɪr/ | gần
nearest (adj) . /ˈnɪrɪst/ | gần nhất
neck (n) . /nek/ | cái cổ
necklace (n) . /ˈnekləs/ | dây chuyền
need (v/n) . /niːd/ | cần, nhu cầu
need to (v) . /niːd tu/ | cần phải
neighbor (n) . /ˈneɪbər/ | hàng xóm
neighborhood (n) . /ˈneɪbərhʊd/ | khu vực lân cận
nervous (adj) . /ˈnɜːrvəs/ | lo lắng, hồi hộp
never (adv) . /ˈnevər/ | không bao giờ
new (adj) . /nuː/ | mới
next (adj/adv) . /nekst/ | tiếp theo, tới
next time (adv/n) . /nekst taɪm/ | lần tới
next to (prep) . /nekst tu/ | bên cạnh
nice (adj) . /naɪs/ | tốt, đẹp, tử tế
night (n) . /naɪt/ | ban đêm
nine (number) . /naɪn/ | chín
ninety (number) . /ˈnaɪnti/ | chín mươi
no problem (phrase) . /noʊ ˈprɑːbləm/ | không có vấn đề gì
no way (phrase) . /noʊ weɪ/ | không đời nào
noisy (adj) . /ˈnɔɪzi/ | ồn ào
noon (n) . /nuːn/ | buổi trưa (12h)
normal (adj/n) . /ˈnɔːrml/ | bình thường
normally (adv) . /ˈnɔːrməli/ | thông thông thường
nose (n) . /noʊz/ | cái mũi
note (n/v) . /noʊt/ | ghi chú (phiếu khám)
notebook (n) . /ˈnoʊtbʊk/ | quyển vở
notice (v/n) . /ˈnoʊtɪs/ | chú ý, thông báo
novel (n/adj) . /ˈnɑːvl/ | tiểu thuyết
now (adv) . /naʊ/ | bây giờ
number (n/v) . /ˈnʌmbər/ | con số
nurse (n/v) . /nɜːrs/ | y tá
o'clock (adv) . /əˈklɑːk/ | giờ đúng
ocean (n) . /ˈoʊʃn/ | đại dương
of (prep) . /ɒv/ | của, trong số
of course (phrase) . /əv kɔːrs/ | tất nhiên
of course not (phrase) . /əv kɔːrs nɑːt/ | tất nhiên là không
office (n) . /ˈɑːfɪs/ | văn phòng
often (adv) . /ˈɔːfn/ | thường xuyên
oh (interj) . /oʊ/ | ồ, ôi
oh no (phrase) . /oʊ noʊ/ | ôi không
oil (n) . /ɔɪl/ | dầu ăn
old (adj) . /oʊld/ | cũ, già, lớn tuổi
olive (n) . /ˈɑːlɪv/ | quả ô liu
on (prep/adv) . /ɑːn/ | trên, bật
on mute (phrase) . /ɑːn mjuːt/ | đang tắt tiếng
on sale (phrase) . /ɑːn seɪl/ | đang giảm giá
on the ground (phrase) . /ɑːn ðə ɡraʊnd/ | trên mặt đất
on vacation (phrase) . /ɑːn veɪˈkeɪʃn/ | đang đi nghỉ mát
once (adv) . /wʌns/ | một lần
one (number/pronoun) . /wʌn/ | một
ones (pronoun) . /wʌnz/ | những cái, những người
onion (n) . /ˈʌnjən/ | hành tây
online (adj/adv) . /ˌɑːnˈlaɪn/ | trực tuyến
only (adv/adj) . /ˈoʊnli/ | chỉ
oops (interj) . /uːps/ | ối, lỗi rồi
open (adj/v) . /ˈoʊpən/ | mở cửa
option (n) . /ˈɑːpʃn/ | lựa chọn
or (conj) . /ɔːr/ | hoặc, hay là
orange (n/adj) . /ˈɔːrɪndʒ/ | quả cam, màu cam
order (v/n) . /ˈɔːrdər/ | đặt hàng, gọi món
organize (v) . /ˈɔːrɡənaɪz/ | tổ chức, sắp xếp
organized (adj) . /ˈɔːrɡənaɪzd/ | có tổ chức, ngăn nắp
other (adj/pronoun) . /ˈʌðər/ | khác
our (determiner) . /ˈaʊər/ | của chúng tôi
outside (adv/prep) . /ˌaʊtˈsaɪd/ | bên ngoài
oven (n) . /ˈʌvn/ | lò nướng
over (prep/adv) . /ˈoʊvər/ | qua, trên, kết thúc
over the weekend (phrase) . /ˈoʊvər ðə ˌwiːkˈend/ | qua kỳ nghỉ cuối tuần
over there (phrase) . /ˈoʊvər ðer/ | ở đằng kia
own (adj/v) . /oʊn/ | riêng, sở hữu
p.m. (adv) . /ˌpiːˈem/ | giờ chiều/tối
pack (v) . /pæk/ | đóng gói, mang theo
package (n) . /ˈpækɪdʒ/ | gói hàng
page (n) . /peɪdʒ/ | trang sách
pain (n) . /peɪn/ | sự đau đớn
paint (v/n) . /peɪnt/ | vẽ, sơn
painting (n) . /ˈpeɪntɪŋ/ | bức vẽ, hội họa
pajamas (n) . /pəˈdʒɑːməz/ | đồ ngủ
pancake (n) . /ˈpænkeɪk/ | bánh kếp
pants (n) . /pænts/ | quần dài
paper (n) . /ˈpeɪpər/ | giấy, bài thi
paper towel (n) . /ˈpeɪpər ˈtaʊəl/ | khăn giấy
parade (n) . /pəˈreɪd/ | cuộc diễu hành
paragraph (n) . /ˈpærəɡræf/ | đoạn văn
parents (n) . /ˈperənts/ | bố mẹ
park (n) . /pɑːrk/ | công viên
parking lot (n) . /ˈpɑːrkɪŋ lɑːt/ | bãi đậu xe
partner (n) . /ˈpɑːrtnər/ | đối tác, bạn đời
party (n) . /ˈpɑːrti/ | bữa tiệc
passport (n) . /ˈpæspɔːrt/ | hộ chiếu
password (n) . /ˈpæswɜːrd/ | mật khẩu
pasta (n) . /ˈpɑːstə/ | mì ống, mỳ Ý
patient (n/adj) . /ˈpeɪʃnt/ | bệnh nhân, kiên nhẫn
pay (v) . /peɪ/ | thanh toán, trả tiền
peach (n) . /piːtʃ/ | quả đào
pear (n) . /per/ | quả lê
pen (n) . /pen/ | bút mực
pencil (n) . /ˈpensl/ | bút chì
people (n) . /ˈpiːpl/ | người, mọi người
pepper (n) . /ˈpepər/ | tiêu
perfect (adj) . /ˈpɜːrfɪkt/ | hoàn hảo
person (n) . /ˈpɜːrsn/ | người
pet (n) . /pet/ | thú cưng
pharmacy (n) . /ˈfɑːrməsi/ | tiệm thuốc
phone (n/v) . /foʊn/ | điện thoại
phone number (n) . /ˈfoʊn ˈnʌmbər/ | số điện thoại
photo (n) . /ˈfoʊtoʊ/ | bức ảnh
piano (n) . /piˈænoʊ/ | đàn dương cầm
pick (v) . /pɪk/ | chọn, hái
picnic (n) . /ˈpɪknɪk/ | buổi dã ngoại
picture (n) . /ˈpɪktʃər/ | bức tranh, hình ảnh
picture of (phrase) . /ˈpɪktʃər ɒv/ | bức ảnh về...
pie (n) . /paɪ/ | bánh pie
pill (n) . /pɪl/ | viên thuốc
pillow (n) . /ˈpɪloʊ/ | cái gối
pink (n/adj) . /pɪŋk/ | màu hồng
pizza (n) . /ˈpiːtsə/ | bánh pizza
place (n) . /pleɪs/ | địa điểm, nơi chốn
plan (n/v) . /plæn/ | kế hoạch
plan to (v) . /plæn tu/ | dự định làm gì
plane (n) . /pleɪn/ | máy bay
plant (n) . /plænt/ | cây cảnh, thực vật
plastic (adj/n) . /ˈplæstɪk/ | bằng nhựa
plate (n) . /pleɪt/ | cái đĩa
play (v) . /pleɪ/ | chơi
play cards (v) . /pleɪ kɑːrdz/ | chơi bài
player (n) . /ˈpleɪər/ | người chơi, cầu thủ
please (exclamation/v) . /pliːz/ | làm ơn, vui lòng
pleased (adj) . /pliːzd/ | hài lòng
podcast (n) . /ˈpɑːdkæst/ | podcast
poem (n) . /ˈpoʊəm/ | bài thơ
point (n/v) . /pɔɪnt/ | điểm, chỉ tay
police (n) . /pəˈliːs/ | cảnh sát
polite (adj) . /pəˈlaɪt/ | lịch sự
pool (n) . /puːl/ | bể bơi
pop (n/adj) . /pɑːp/ | nhạc pop
popcorn (n) . /ˈpɑːpkɔːrn/ | bỏng ngô
popular (adj) . /ˈpɑːpjələr/ | phổ biến, được yêu thích
porch (n) . /pɔːrtʃ/ | hiên nhà
pork (n) . /pɔːrk/ | thịt lợn
position (n) . /pəˈzɪʃn/ | vị trí, chỗ
post (v/n) . /poʊst/ | đăng tải, bài đăng
post office (n) . /ˈpoʊst ˈɑːfɪs/ | bưu điện
poster (n) . /ˈpoʊstər/ | áp phích
pot (n) . /pɑːt/ | cái nồi (lẩu)
potato (n) . /pəˈteɪtoʊ/ | khoai tây
potato chip (n) . /pəˈteɪtoʊ tʃɪp/ | khoai tây chiên miếng
pound (n) . /paʊnd/ | đơn vị pao (cân nặng)
practice (v/n) . /ˈpræktɪs/ | thực hành, luyện tập
prefer (v) . /prɪˈfɜːr/ | thích hơn
prescription (n) . /prɪˈskrɪpʃn/ | đơn thuốc
present (n/v) . /ˈpreznt/ | món quà, trình bày
presentation (n) . /ˌpriːzenˈteɪʃn/ | bài thuyết trình
pretty (adj/adv) . /ˈprɪti/ | xinh đẹp, khá
print (v) . /prɪnt/ | in ấn
printer (n) . /ˈprɪntər/ | máy in
prize (n) . /praɪz/ | giải thưởng
problem (n) . /ˈprɑːbləm/ | vấn đề
professor (n) . /prəˈfesər/ | giáo sư
program (n) . /ˈproʊɡræm/ | chương trình
project (n) . /ˈprɑːdʒekt/ | dự án
punk (n/adj) . /pʌŋk/ | nhạc punk, kẻ côn đồ
purple (n/adj) . /ˈpɜːrpl/ | màu tím
purse (n) . /pɜːrs/ | ví cầm tay (nữ)
push-up (n) . /ˈpʊʃ-ʌp/ | hít đất
put (v) . /pʊt/ | đặt, để
puzzle (n) . /ˈpʌzl/ | trò độ vui, xếp hình
question (n/v) . /ˈkwestʃən/ | câu hỏi
quickly (adv) . /ˈkwɪkli/ | nhanh chóng
quiet (adj) . /ˈkwaɪət/ | yên tĩnh
quite (adv) . /kwaɪt/ | khá
quiz (n) . /kwɪz/ | bài kiểm tra ngắn
rabbit (n) . /ˈræbɪt/ | con thỏ
rain (n/v) . /reɪn/ | mưa
raincoat (n) . /ˈreɪnkoʊt/ | áo mưa
ran (v) . /ræn/ | đã chạy
rap (n) . /ræp/ | nhạc rap
read (v) . /riːd/ | đọc
ready (adj) . /ˈredi/ | sẵn sàng
ready for (phrase) . /ˈredi fɔːr/ | sẵn sàng cho
really (adv) . /ˈriːəli/ | thực sự
receipt (n) . /rɪˈsiːt/ | biên lai, hóa đơn
receptionist (n) . /rɪˈsepʃənɪst/ | nhân viên lễ tân
recipe (n) . /ˈresəpi/ | công thức nấu ăn
recommend (v) . /ˌrekəˈmend/ | giới thiệu, khuyên bảo
red (n/adj) . /red/ | màu đỏ
refund (n/v) . /ˈriːfʌnd/ | hoàn tiền
regular (adj) . /ˈreɡjələr/ | thường xuyên, thông thường
relationship (n) . /rɪˈleɪʃnʃɪp/ | mối quan hệ
relax (v) . /rɪˈlæks/ | nghỉ ngơi, thư giãn
relaxation (n) . /ˌriːlækˈseɪʃn/ | sự thư giãn
relaxing (adj) . /rɪˈlæksɪŋ/ | làm thư giãn
remember (v) . /rɪˈmembər/ | ghi nhớ
repeat (v) . /rɪˈpiːt/ | nhắc lại, lặp lại
reply (v/n) . /rɪˈplaɪ/ | trả lời
report (n/v) . /rɪˈpɔːrt/ | báo cáo
reservation (n) . /ˌrezərˈveɪʃn/ | sự đặt chỗ trước
responsibility (n) . /rɪˌspɑːnsəˈbɪləti/ | trách nhiệm
rest (v/n) . /rest/ | nghỉ ngơi
restaurant (n) . /ˈrestrɑːnt/ | nhà hàng
restroom (n) . /ˈrestruːm/ | nhà vệ sinh
retreat (n) . /rɪˈtriːt/ | nơi tĩnh dưỡng, tu tập
return (v) . /rɪˈtɜːrn/ | trả lại, trở về
rice (n) . /raɪs/ | cơm, gạo
rich (adj) . /rɪtʃ/ | giàu có
ride (n/v) . /raɪd/ | chuyến đi, cưỡi, lái
right (adj/n) . /raɪt/ | đúng, bên phải
right away (adv) . /ˌraɪt əˈweɪ/ | ngay lập tức
right here (adv) . /raɪt hɪr/ | ngay tại đây
right now (adv) . /ˌraɪt ˈnaʊ/ | ngay bây giờ
ring (n) . /rɪŋ/ | cái nhẫn
river (n) . /ˈrɪvər/ | con sông
road (n) . /roʊd/ | con đường
